id,package,NC,A,I,D
518,org.apache.hadoop.yarn.nodelabels.event,5,0.0,0.25,0.75
519,org.apache.hadoop.yarn.server.federation.policies.exceptions,5,0.0,0.9714285714285714,0.02857142857142858
520,org.apache.hadoop.yarn.server.federation.resolver,5,0.4,0.7142857142857143,0.11428571428571432
521,org.apache.hadoop.yarn.server.federation.store,5,0.8,0.8181818181818182,0.6181818181818182
522,org.apache.hadoop.yarn.server.nodemanager.api.protocolrecords,5,0.6,0.9,0.5
523,org.apache.hadoop.yarn.server.nodemanager.api.protocolrecords.impl.pb,5,0.0,0.4444444444444444,0.5555555555555556
524,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.privileged,5,0.0,0.9130434782608695,0.08695652173913049
525,org.apache.hadoop.yarn.server.nodemanager.containermanager.resourceplugin,5,0.6,0.75,0.3500000000000001
526,org.apache.hadoop.yarn.server.nodemanager.timelineservice,5,0.0,0.7142857142857143,0.2857142857142857
527,org.apache.hadoop.yarn.server.resourcemanager.recovery.records,5,0.8,0.8809523809523809,0.680952380952381
528,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.allocator,5,0.2,0.3333333333333333,0.4666666666666667
529,org.apache.hadoop.yarn.server.resourcemanager.volume.csi.event,5,0.0,0.5,0.5
530,org.apache.hadoop.yarn.server.resourcemanager.webapp.fairscheduler,5,0.0,0.2857142857142857,0.7142857142857143
531,org.apache.hadoop.yarn.sls.appmaster,5,0.2,0.5,0.30000000000000004
532,org.apache.hadoop.yarn.submarine.client.cli.param,5,0.4,0.6363636363636364,0.036363636363636376
533,org.apache.hadoop.yarn.submarine.runtimes.yarnservice,5,0.0,0.42857142857142855,0.5714285714285714
534,org.apache.hadoop.yarn.webapp.hamlet2,5,0.0,0.9038461538461539,0.09615384615384615
535,org.apache.hadoop.yarn.webapp.log,5,0.0,0.5454545454545454,0.4545454545454546
536,org.apache.hadoop.crypto.random,4,0.0,0.4,0.6
537,org.apache.hadoop.fs.azurebfs.security,4,0.0,0.3333333333333333,0.6666666666666667
538,org.apache.hadoop.fs.local,4,0.0,0.42857142857142855,0.5714285714285714
539,org.apache.hadoop.hdds,4,0.0,0.9642857142857143,0.0357142857142857
540,org.apache.hadoop.hdds.scm.command,4,0.0,0.5,0.5
541,org.apache.hadoop.hdfs.inotify,4,0.25,0.7333333333333333,0.01666666666666672
542,org.apache.hadoop.hdfs.server.namenode.top.window,4,0.0,0.4,0.6
543,org.apache.hadoop.io.compress.lz4,4,0.0,0.5,0.5
544,org.apache.hadoop.io.compress.snappy,4,0.0,0.42857142857142855,0.5714285714285714
545,org.apache.hadoop.io.compress.zstd,4,0.0,0.2,0.8
546,org.apache.hadoop.ipc.metrics,4,0.0,0.5555555555555556,0.4444444444444444
547,org.apache.hadoop.lib.lang,4,0.0,0.5555555555555556,0.4444444444444444
548,org.apache.hadoop.lib.util,4,0.25,0.6363636363636364,0.11363636363636365
549,org.apache.hadoop.mapred.gridmix.emulators.resourceusage,4,0.25,0.42857142857142855,0.3214285714285714
550,org.apache.hadoop.mapreduce.lib.fieldsel,4,0.0,0.3333333333333333,0.6666666666666667
551,org.apache.hadoop.mapreduce.security.token,4,0.0,0.8709677419354839,0.12903225806451613
552,org.apache.hadoop.mapreduce.v2.app.rm.preemption,4,0.25,0.7333333333333333,0.01666666666666672
553,org.apache.hadoop.maven.plugin.protoc,4,0.0,0.0,1.0
554,org.apache.hadoop.minikdc,4,0.0,0.9411764705882353,0.05882352941176472
555,org.apache.hadoop.mount,4,0.25,0.4,0.35
556,org.apache.hadoop.ozone.container.common.transport.server,4,0.25,0.5714285714285714,0.1785714285714286
557,org.apache.hadoop.ozone.container.testutils,4,0.0,0.3333333333333333,0.6666666666666667
558,org.apache.hadoop.ozone.genconf,4,0.0,0.0,1.0
559,org.apache.hadoop.ozone.protocol,4,0.5,0.896551724137931,0.39655172413793105
560,org.apache.hadoop.ozone.s3.util,4,0.0,0.4,0.6
561,org.apache.hadoop.ozone.web.utils,4,0.0,0.9772727272727273,0.022727272727272707
562,org.apache.hadoop.resourceestimator.common.api,4,0.0,0.9130434782608695,0.08695652173913049
563,org.apache.hadoop.resourceestimator.skylinestore.api,4,0.75,0.8571428571428571,0.6071428571428572
564,org.apache.hadoop.resourceestimator.skylinestore.impl,4,0.25,0.5714285714285714,0.1785714285714286
565,org.apache.hadoop.resourceestimator.solver.exceptions,4,0.25,1.0,0.25
566,org.apache.hadoop.streaming.mapreduce,4,0.25,0.0,0.75
567,org.apache.hadoop.tools.rumen.serializers,4,0.0,0.5,0.5
568,org.apache.hadoop.util.hash,4,0.25,0.5555555555555556,0.19444444444444442
569,org.apache.hadoop.yarn.ams,4,0.5,0.75,0.25
570,org.apache.hadoop.yarn.factory.providers,4,0.0,0.9772727272727273,0.022727272727272707
571,org.apache.hadoop.yarn.logaggregation.filecontroller.ifile,4,0.0,0.0,1.0
572,org.apache.hadoop.yarn.nodelabels.store,4,0.5,0.5714285714285714,0.0714285714285714
573,org.apache.hadoop.yarn.server.federation.store.exception,4,0.0,0.75,0.25
574,org.apache.hadoop.yarn.server.nodemanager.api.impl.pb,4,0.0,0.3333333333333333,0.6666666666666667
575,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.security,4,0.0,0.3333333333333333,0.6666666666666667
576,org.apache.hadoop.yarn.server.nodemanager.containermanager.runtime,4,0.25,0.8620689655172413,0.11206896551724133
577,org.apache.hadoop.yarn.server.nodemanager.security,4,0.0,0.8181818181818182,0.18181818181818177
578,org.apache.hadoop.yarn.server.resourcemanager.amlauncher,4,0.0,0.7857142857142857,0.2142857142857143
579,org.apache.hadoop.yarn.server.resourcemanager.blacklist,4,0.25,0.42857142857142855,0.3214285714285714
580,org.apache.hadoop.yarn.server.resourcemanager.federation,4,0.0,0.25,0.75
581,org.apache.hadoop.yarn.server.resourcemanager.monitor,4,0.25,0.6666666666666666,0.08333333333333337
582,org.apache.hadoop.yarn.server.resourcemanager.recovery.records.impl.pb,4,0.0,0.5,0.5
583,org.apache.hadoop.yarn.server.resourcemanager.reservation.exceptions,4,0.0,0.8974358974358975,0.10256410256410253
584,org.apache.hadoop.yarn.server.resourcemanager.resource,4,0.25,0.7777777777777778,0.02777777777777768
585,org.apache.hadoop.yarn.server.resourcemanager.rmapp.attempt.event,4,0.0,0.6666666666666666,0.33333333333333337
586,org.apache.hadoop.yarn.server.resourcemanager.volume.csi.lifecycle,4,0.25,0.8,0.050000000000000044
587,org.apache.hadoop.yarn.server.resourcemanager.volume.csi.provisioner,4,0.25,0.42857142857142855,0.3214285714285714
588,org.apache.hadoop.yarn.server.sharedcachemanager.metrics,4,0.0,0.6923076923076923,0.3076923076923077
589,org.apache.hadoop.yarn.server.sharedcachemanager.webapp,4,0.0,0.2,0.8
590,org.apache.hadoop.yarn.server.timeline.recovery,4,0.25,0.5555555555555556,0.19444444444444442
591,org.apache.hadoop.yarn.server.timeline.webapp,4,0.0,0.3333333333333333,0.6666666666666667
592,org.apache.hadoop.yarn.server.timelineservice.reader.security,4,0.0,0.3333333333333333,0.6666666666666667
593,org.apache.hadoop.yarn.server.timelineservice.security,4,0.0,0.2,0.8
594,org.apache.hadoop.yarn.server.uam,4,0.0,0.5714285714285714,0.4285714285714286
595,org.apache.hadoop.yarn.server.volume.csi.exception,4,0.0,0.8461538461538461,0.15384615384615385
596,org.apache.hadoop.yarn.service.provider.docker,4,0.25,0.5,0.25
597,org.apache.hadoop.yarn.sls.synthetic,4,0.0,0.4,0.6
598,org.apache.hadoop.yarn.submarine.common.api,4,0.0,0.8571428571428571,0.1428571428571429
599,org.apache.hadoop.fs.protocolPB,3,0.0,0.3333333333333333,0.6666666666666667
600,org.apache.hadoop.fs.s3native,3,0.0,0.6666666666666666,0.33333333333333337
601,org.apache.hadoop.fs.store,3,0.0,0.4,0.6
602,org.apache.hadoop.hdds.conf,3,0.0,0.9875,0.012499999999999956
603,org.apache.hadoop.hdds.protocol,3,0.0,0.9893048128342246,0.010695187165775444
604,org.apache.hadoop.hdfs.client.impl.metrics,3,0.0,0.5,0.5
605,org.apache.hadoop.hdfs.nfs,3,0.0,0.0,1.0
606,org.apache.hadoop.hdfs.security.token.delegation,3,0.0,0.9387755102040817,0.061224489795918324
607,org.apache.hadoop.hdfs.server.mover,3,0.0,0.0,1.0
608,org.apache.hadoop.hdfs.server.namenode.web.resources,3,0.0,0.625,0.375
609,org.apache.hadoop.jmx,3,0.0,0.25,0.75
610,org.apache.hadoop.lib.service.security,3,0.0,0.0,1.0
611,org.apache.hadoop.mapred.nativetask.utils,3,0.0,0.0,1.0
612,org.apache.hadoop.mapred.tools,3,0.0,0.3333333333333333,0.6666666666666667
613,org.apache.hadoop.mapreduce.lib.reduce,3,0.0,0.7272727272727273,0.2727272727272727
614,org.apache.hadoop.mapreduce.protocol,3,0.6666666666666666,0.7857142857142857,0.45238095238095233
615,org.apache.hadoop.mapreduce.v2.api.impl.pb.client,3,0.0,0.0,1.0
616,org.apache.hadoop.mapreduce.v2.api.impl.pb.service,3,0.0,0.0,1.0
617,org.apache.hadoop.mapreduce.v2.app.client,3,0.3333333333333333,0.85,0.18333333333333335
618,org.apache.hadoop.mapreduce.v2.app.local,3,0.0,0.25,0.75
619,org.apache.hadoop.mapreduce.v2.app.metrics,3,0.0,0.7272727272727273,0.2727272727272727
620,org.apache.hadoop.mapreduce.v2.app.security.authorize,3,0.0,0.5714285714285714,0.4285714285714286
